location,room,area,floor,price
Gənclik m.,3 otaqlı,80.0,6,215000
Gənclik m.,3 otaqlı,145.0,12,297000
Gənclik m.,3 otaqlı,177.0,9,275000
Gənclik m.,2 otaqlı,60.0,3,172000
Gənclik m.,4 otaqlı,105.0,5,195000
Gənclik m.,3 otaqlı,100.0,3,255000
Gənclik m.,2 otaqlı,68.0,12,195000
Gənclik m.,4 otaqlı,157.0,9,425000
Gənclik m.,3 otaqlı,90.0,7,195000
Gənclik m.,3 otaqlı,114.7,14,330000
Gənclik m.,2 otaqlı,60.0,6,175000
Gənclik m.,3 otaqlı,90.0,7,195000
Gənclik m.,2 otaqlı,68.0,12,195000
Gənclik m.,3 otaqlı,82.0,6,229000
Gənclik m.,4 otaqlı,120.0,6,254000
Gənclik m.,2 otaqlı,65.0,3,158000
Gənclik m.,3 otaqlı,75.0,4,165000
Gənclik m.,3 otaqlı,70.0,3,165000
Gənclik m.,3 otaqlı,140.0,6,480000
Gənclik m.,3 otaqlı,90.0,4,205000
Gənclik m.,3 otaqlı,90.0,1,196000
Nəriman Nərimanov m.,3 otaqlı,111.0,3,299500
Gənclik m.,2 otaqlı,60.0,8,165000
Gənclik m.,2 otaqlı,64.0,14,205000
Gənclik m.,3 otaqlı,85.0,4,215000
Gənclik m.,2 otaqlı,60.0,17,190000
Gənclik m.,3 otaqlı,130.0,17,295000
Gənclik m.,3 otaqlı,140.0,14,379000
Gənclik m.,3 otaqlı,90.0,1,197000
Gənclik m.,3 otaqlı,115.0,17,285000
Gənclik m.,3 otaqlı,95.0,4,215000
Gənclik m.,3 otaqlı,141.0,3,261000
Gənclik m.,4 otaqlı,110.0,6,254000
Gənclik m.,4 otaqlı,179.0,16,462000
Gənclik m.,4 otaqlı,105.0,7,260000
Gənclik m.,3 otaqlı,142.0,8,369000
Gənclik m.,2 otaqlı,60.0,8,205000
Gənclik m.,3 otaqlı,90.0,1,197000
Gənclik m.,2 otaqlı,64.0,14,205000
Gənclik m.,2 otaqlı,60.0,17,190000
Gənclik m.,3 otaqlı,90.0,4,220000
Gənclik m.,2 otaqlı,65.0,7,165000
Gənclik m.,2 otaqlı,88.0,10,220000
Gənclik m.,4 otaqlı,110.0,7,260000
Gənclik m.,4 otaqlı,166.0,8,332000
Gənclik m.,7 otaqlı,400.0,11,1800000
Gənclik m.,3 otaqlı,114.7,14,320000
Gənclik m.,3 otaqlı,110.0,7,320000
Gənclik m.,3 otaqlı,187.0,6,570000
Gənclik m.,3 otaqlı,129.0,14,316000
Nəriman Nərimanov m.,3 otaqlı,125.0,8,425000
Gənclik m.,2 otaqlı,70.0,2,170000
Gənclik m.,2 otaqlı,60.0,6,175000
Gənclik m.,4 otaqlı,117.0,1,160000
Gənclik m.,3 otaqlı,130.0,13,449000
Gənclik m.,3 otaqlı,140.0,14,379000
Gənclik m.,2 otaqlı,54.0,2,182000
Gənclik m.,2 otaqlı,56.0,8,165000
Nəriman Nərimanov m.,3 otaqlı,118.0,4,358000
Nəriman Nərimanov m.,3 otaqlı,71.0,6,215000
Gənclik m.,3 otaqlı,110.0,7,320000
Nəriman Nərimanov m.,1 otaqlı,35.0,9,107000
Gənclik m.,2 otaqlı,65.0,3,172000
Gənclik m.,2 otaqlı,113.0,7,316400
Nəriman Nərimanov m.,3 otaqlı,99.0,2,270000
Gənclik m.,4 otaqlı,117.0,1,160000
Gənclik m.,2 otaqlı,64.0,14,205000
Gənclik m.,3 otaqlı,160.0,11,630000
Gənclik m.,2 otaqlı,68.0,12,195000
Gənclik m.,2 otaqlı,56.0,4,135000
Gənclik m.,3 otaqlı,136.0,13,319000
Gənclik m.,3 otaqlı,90.0,4,219000
Gənclik m.,2 otaqlı,65.0,8,165000
Gənclik m.,3 otaqlı,110.0,7,320000
Gənclik m.,2 otaqlı,52.0,4,135000
